year,sex,age,pop
1984,Males,95,4427.830015
1985,Females,0,223230.46135599999
1985,Females,1,764872.628207
1985,Females,5,1525051.2888969998
1985,Females,10,1612052.408435
1985,Females,15,1600755.709457
1985,Females,20,1561577.250784
1985,Females,25,1419308.420876
1985,Females,30,1240187.733913
1985,Females,35,1222210.614323
1985,Females,40,1101547.097173
1985,Females,45,1031735.5444220001
1985,Females,50,1183338.269791
1985,Females,55,1120624.3795440001
1985,Females,60,1015052.1824950001
1985,Females,65,817345.207697
1985,Females,70,743451.063756
1985,Females,75,583479.308747
1985,Females,80,373419.66239099996
1985,Females,85,160117.72481900002
1985,Females,90,48433.285956
1985,Females,95,12879.59081
1985,Males,0,239591.17694700003
1985,Males,1,816545.529932
1985,Males,5,1610708.8482269999
1985,Males,10,1702864.584363
1985,Males,15,1678102.588378
1985,Males,20,1609980.7279440002
1985,Males,25,1437579.334881
1985,Males,30,1254555.9220959998
1985,Males,35,1222221.556664
1985,Males,40,1101438.279374
1985,Males,45,999079.050386
1985,Males,50,1141764.019932
1985,Males,55,1050611.859267
1985,Males,60,911455.987605
1985,Males,65,633905.0101399999
1985,Males,70,532584.018209
1985,Males,75,380548.70275199995
1985,Males,80,208948.836523
1985,Males,85,75170.72219100001
1985,Males,90,18747.61004
1985,Males,95,4775.130996
1986,Females,0,211982.58850299998
1986,Females,1,726072.394475
1986,Females,5,1473003.139728
1986,Females,10,1619543.7000520001
1986,Females,15,1596439.474819
1986,Females,20,1574681.876989
1986,Females,25,1454861.2414219999
1986,Females,30,1265380.116789
1986,Females,35,1218509.478631
1986,Females,40,1126550.0881790002
1986,Females,45,1005246.606187
1986,Females,50,1179815.16723
1986,Females,55,1134964.938364
1986,Females,60,1036286.206208
1986,Females,65,841435.467799
1986,Females,70,742843.701328
1986,Females,75,597056.6020269999
1986,Females,80,384322.034822
1986,Females,85,172323.086697
1986,Females,90,50225.901645
1986,Females,95,12856.985996
1986,Males,0,226573.510912
1986,Males,1,774965.693645
1986,Males,5,1555652.4127480001
1986,Males,10,1707459.486582
1986,Males,15,1675781.89189
1986,Males,20,1631146.3054149998
1986,Males,25,1472802.064045
1986,Males,30,1278495.870695
1986,Males,35,1221610.2331690001
1986,Males,40,1122678.16696
1986,Males,45,981480.727843
1986,Males,50,1133402.239003
1986,Males,55,1066329.779496
1986,Males,60,932877.278086
1986,Males,65,666513.866404
1986,Males,70,530639.90668
1986,Males,75,388503.80122699996
1986,Males,80,215461.504917
1986,Males,85,80653.674983
1986,Males,90,19727.555538
1986,Males,95,4762.727537
1987,Females,0,206203.713563
1987,Females,1,694586.509448
1987,Females,5,1412955.015704
1987,Females,10,1617947.7604810002
1987,Females,15,1596042.840091
1987,Females,20,1589435.3485830002
1987,Females,25,1476095.7830019998
1987,Females,30,1294684.693869
1987,Females,35,1226611.146454
1987,Females,40,1164876.47894
1987,Females,45,972990.1185580001
1987,Females,50,1164882.474802
1987,Females,55,1148831.099045
1987,Females,60,1049881.021669
1987,Females,65,875434.7242010001
1987,Females,70,741889.668099
1987,Females,75,611155.761544
1987,Females,80,398223.786536
1987,Females,85,185029.44425200002
1987,Females,90,53820.610864999995
1987,Females,95,12999.056756
1987,Males,0,219924.385819
1987,Males,1,739092.1256339999
1987,Males,5,1493566.6940509998
1987,Males,10,1702162.447251
1987,Males,15,1677485.650968
1987,Males,20,1648938.597304
1987,Males,25,1497877.306739
1987,Males,30,1306414.179423
1987,Males,35,1231827.5277800001
